"trp_id";"name";"road_reference";"road_category_and_number";"county_name";"municipality_name";"lat";"lon";"road_link_position";"msnr";"year";"coverage";"length_quality";"aadt_total";"aadt_lette";"aadt_tunge";"index_19";"index_20";"index_21";"index_22";"index"
"72355V444049";"Dølihagen Bussholde";"FV1496 S6D1 m3069";"Fv 1496";"Viken";"Ullensaker";60,137746;11,173287;"0.72355@444049";NA;2021;100;100;12360;11540;770;NA;-4,01;-7,18;23,78;NA
"39427V444105";"Vestbysvingen";"FV1551 S2D10 m220";"Fv 1551";"Viken";"Eidsvoll";60,257793;11,183328;"0.34554@444105";NA;2021;100;100;10210;9500;710;NA;NA;-0,84;10,88;NA
"71081V443831";"Stabekk Seniorsenter";"FV1630 S1D1 m1854";"Fv 1630";"Viken";"Bærum";59,910851;10,599737;"0.71103@443831";NA;2021;100;100;7070;6560;500;NA;-14,41;-10,69;7,32;NA
"47719V443837";"Vollsveien";"FV1632 S1D1 m1146";"Fv 1632";"Viken";"Bærum";59,940893;10,626438;"0.47717@443837";205310;2021;99,99;99;4350;4020;300;5,1;NA;6,41;8,19;NA
"91761V625485";"Ljabrudiagonalen";"KV155 S1D1 m8153";"Kv 155";"Oslo";"Oslo";59,840297;10,786571;"0.91761@625485";NA;2021;100;100;5520;5140;380;NA;NA;6,31;1,45;NA
"25348V625498";"Vækerøveien V/Ullernchaussen ";"KV160 S1D1 m1352";"Kv 160";"Oslo";"Oslo";59,925897;10,641032;"0.21789@625498";NA;2021;58,9;99;20260;18800;1310;NA;NA;-4,1;8,28;NA
"13999V625502";"Finnmarksgata";"KV161 S1D1 m1083";"Kv 161";"Oslo";"Oslo";59,916631;10,776115;"0.13996@625502";NA;2021;89,58;100;6720;6050;660;NA;NA;NA;NA;NA
"47044V625502";"Vøyen Bru";"KV161 S4D1 m1198";"Kv 161";"Oslo";"Oslo";59,932777;10,758834;"0.47036@625502";NA;2021;100;99;14440;13410;860;NA;NA;NA;6,08;NA
"07144V625582";"Sørkedalsveien";"KV168 S1D1 m2984";"Kv 168";"Oslo";"Oslo";59,934471;10,697955;"0.07144@625582";NA;2021;100;99;17070;16110;840;NA;NA;NA;6,51;NA
"71608V603756";"Bygdøy Alle ";"KV10967 S1D1 m1314";"Kv 10967";"Oslo";"Oslo";59,919245;10,696369;"0.71618@603756";NA;2021;100;97;12970;11100;1460;NA;NA;NA;13,28;NA
"32135V604101";"General Ruges Vei V/ Bøler";"KV12212 S1D1 m1126";"Kv 12212";"Oslo";"Oslo";59,883898;10,845196;"0.32126@604101";NA;2021;57,26;100;8770;7960;780;NA;NA;NA;NA;NA
"17839V604335";"Holmenkollveien";"KV13070 S1D1 m1245";"Kv 13070";"Oslo";"Oslo";59,948892;10,676231;"0.17839@604335";NA;2021;100;100;8170;7720;460;NA;NA;-0,3;0,72;NA
"62991V604777";"Maridalsveien";"KV14622 S9D1 m425";"Kv 14622";"Oslo";"Oslo";59,925009;10,750323;"0.62991@604777";NA;2021;100;100;10030;8950;1060;NA;NA;-8,25;30,02;NA
"61394V604898";"Nedre Kaldbakkvei";"KV14994 S1D1 m736";"Kv 14994";"Oslo";"Oslo";59,945301;10,862771;"0.61394@604898";NA;2021;100;100;12880;11050;1800;NA;NA;NA;13,55;NA
"89787V605343";"Slemdalsveien";"KV16621 S1D1 m2971";"Kv 16621";"Oslo";"Oslo";59,94942;10,699009;"0.89787@605343";NA;2021;100;100;10910;10200;670;NA;NA;7,77;5,98;NA
"18573V444291";"Fjellsrud";"KV17135 S1D1 m1764";"Kv 17135";"Viken";"Lillestrøm";59,877968;11,244934;"0.18003@444291";NA;2021;96,43;97;310;240;60;NA;NA;NA;NA;NA
"61469V605671";"Tvetenveien V/Haugerud";"KV17852 S8D1 m565";"Kv 17852";"Oslo";"Oslo";59,922562;10,8557;"0.61444@605671";NA;2021;100;100;12320;11440;870;NA;NA;NA;15,08;NA
"84851V605851";"Østensjøveien V/Østensjø Skole";"KV18639 S4D1 m849";"Kv 18639";"Oslo";"Oslo";59,899302;10,829181;"0.84866@605851";NA;2021;57,81;100;10460;10000;460;NA;NA;NA;NA;NA
