områdetype;område;vegkategori;døgn;lengdeklasse;periode;indeks;dekning;trafikkmengde indeksår;trafikkmengde basisår;standardavvik;konfidensintervall
By;Tromsø;E;Yrkesdøgn;Alle;April;-20,085;100,000;1005211;1257851;1.172;1.455
By;Tromsø;E;Yrkesdøgn;< 5,6m;April;-20,894;99,610;907350;1147007;1.329;1.650
By;Tromsø;E;Yrkesdøgn;>= 5,6m;April;-10,831;99,610;96080;107750;2.784;3.457
By;Tromsø;E;Yrkesdøgn;5,6m - 7,6m;April;-15,762;99,610;32772;38904;6.797;8.439
By;Tromsø;E;Yrkesdøgn;7,6m - 12,5m;April;-15,808;99,610;36577;43445;5.582;6.931
By;Tromsø;E;Yrkesdøgn;12,5m - 16,0m;April;18,194;99,610;13584;11493;27.103;33.653
By;Tromsø;E;Yrkesdøgn;16,0m - 24,0m;April;-5,814;99,610;12572;13348;5.439;6.753
By;Tromsø;E;Yrkesdøgn;>= 24,0m;April;2,679;99,610;575;560;11.736;14.572
By;Tromsø;E;Helgedøgn;Alle;April;-24,581;100,000;277252;367615;5.466;6.787
By;Tromsø;E;Helgedøgn;< 5,6m;April;-25,213;99,700;263850;352803;5.070;6.295
By;Tromsø;E;Helgedøgn;>= 5,6m;April;-11,665;99,700;13063;14788;13.524;16.793
By;Tromsø;E;Helgedøgn;5,6m - 7,6m;April;-26,086;99,700;3964;5363;18.296;22.717
By;Tromsø;E;Helgedøgn;7,6m - 12,5m;April;-14,918;99,700;4500;5289;20.003;24.836
By;Tromsø;E;Helgedøgn;12,5m - 16,0m;April;13,472;99,700;2510;2212;21.976;27.286
By;Tromsø;E;Helgedøgn;16,0m - 24,0m;April;7,840;99,700;1912;1773;18.768;23.304
By;Tromsø;E;Helgedøgn;>= 24,0m;April;17,219;99,700;177;151;19.581;24.313
By;Tromsø;E;Alle;Alle;Siste 12 måneder;-10,504;32,690;5992732;6696110;1.595;1.980
By;Tromsø;E;Alle;< 5,6m;Siste 12 måneder;-11,406;98,390;5456251;6158692;1.343;1.668
By;Tromsø;E;Alle;>= 5,6m;Siste 12 måneder;0,040;98,390;530840;530629;5.044;6.263
By;Tromsø;E;Alle;5,6m - 7,6m;Siste 12 måneder;-5,460;98,390;183490;194088;3.369;4.183
By;Tromsø;E;Alle;7,6m - 12,5m;Siste 12 måneder;-10,466;98,390;185429;207104;9.500;11.796
By;Tromsø;E;Alle;12,5m - 16,0m;Siste 12 måneder;46,987;98,390;93134;63362;31.207;38.749
By;Tromsø;E;Alle;16,0m - 24,0m;Siste 12 måneder;3,493;98,390;65444;63235;5.689;7.064
By;Tromsø;E;Alle;>= 24,0m;Siste 12 måneder;17,711;98,390;3343;2840;10.929;13.571
By;Tromsø;E;Yrkesdøgn;Alle;Siste 12 måneder;-9,246;32,700;4843675;5337164;2.070;2.570
