"msnr";"msnavn";"maaned";"trafikkmengde.basisaar";"trafikkmengde.indeksaar";"indeks";"dekningsgrad"
9916058;"Være (Gml. E6), N-snitt";"10";266591;278996;"4.65319534417892";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"10";676621;753135;"11.3082508523974";"100"
9916060;"Haakon VII s gt , O-snitt";"10";336187;356380;"6.00647853724268";"100"
9916061;"Landbruksvegen, O-snitt";"10";145691;167381;"14.8876732262116";"100"
9916062;"Tungasletta, O-snitt";"10";229025;244221;"6.63508350616744";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"10";365191;402859;"10.3146024956803";"100"
9916065;"Bratsbergveien, O-snitt";"10";192628;178545;"-7.31098282700334";"100"
9916066;"Tempeveien, O-snitt";"10";108173;117055;"8.210921394433";"100"
9916067;"Bøckmans veg, B-snitt";"10";157536;165930;"5.32830591102986";"100"
9916068;"Byåsveien, B-snitt";"10";283155;294459;"3.99215977115008";"100"
9916069;"Gamle Oslovei, B-snitt";"10";108738;116942;"7.54474056907428";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"10";202666;205282;"1.29079371971619";"100"
9916086;"Tillerbrua, K-snitt";"10";42423;62993;"48.4878485727082";"100"
9916051;"Klett - Rv.707, S-snitt";"11";184155;208750;"13.3555971871521";"100"
9916052;"Klett - E6, S-snitt";"11";490398;576577;"17.5732772156493";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"11";82126;64052;"-22.0076467866449";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"11";249916;286337;"14.5732966276669";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"11";220645;332808;"50.8341453465975";"100"
9916056;"Kroppan bru, M-snitt";"11";424526;445932;"5.04232956285362";"100"
9916058;"Være (Gml. E6), N-snitt";"11";260580;266689;"2.34438560135084";"100"
9916059;"Rv 706 Leangensletta, O-snitt";"11";696711;747963;"7.35627828468333";"100"
9916060;"Haakon VII s gt , O-snitt";"11";335781;345706;"2.95579559296089";"100"
9916061;"Landbruksvegen, O-snitt";"11";147340;166986;"13.3337858015474";"100"
9916062;"Tungasletta, O-snitt";"11";227626;242474;"6.52298067883281";"100"
9916064;"Thorbjørn Bratts veg, O-snitt";"11";361499;409161;"13.1845454620898";"100"
9916065;"Bratsbergveien, O-snitt";"11";201810;178735;"-11.434022099995";"100"
9916066;"Tempeveien, O-snitt";"11";87083;114095;"31.0186833251036";"100"
9916067;"Bøckmans veg, B-snitt";"11";148420;167851;"13.0919013610026";"100"
9916068;"Byåsveien, B-snitt";"11";293557;292497;"-0.361088306529911";"100"
9916069;"Gamle Oslovei, B-snitt";"11";109737;113270;"3.21951575129629";"100"
9916085;"Fv 704 Torgårdsletta. K-snitt";"11";201326;193545;"-3.86487587296226";"100"
9916086;"Tillerbrua, K-snitt";"11";37276;58271;"56.323103337268";"100"
9916051;"Klett - Rv.707, S-snitt";"12";148308;144899;"-2.29859481619332";"100"
9916052;"Klett - E6, S-snitt";"12";500272;428553;"-14.3360012153389";"100"
9916053;"Nedre Leirfoss (Fossestuvegen), M-snitt";"12";67244;49421;"-26.5049669859021";"100"
9916054;"Bjørndalen (Oslovn.) M-snitt)";"12";219742;241095;"9.71730483931155";"100"
9916055;"Nord for Sluppen bru (Tempevn), M-snitt";"12";196269;285765;"45.5986426791801";"100"
