Tellepunkt;Veg;Sted;Meter;HP;År;Felt;L.Klasse;ADT;ÅDTavvik;SDT;SDTavvik;YDT;YDTavvik;HDT;HDTavvik;JDT;JDTavvik
1200099;EV39;STORD-HEIANE/SAGVÅG;32210;68;2017;3;20;3842;-999;3729;-999;4429;-999;2548;-999;3245;-999
1200099;EV39;STORD-HEIANE/SAGVÅG;32210;68;2017;R1;20;4627;0;4455;1;5318;0;3107;0;3865;2
1200100;EV39;TREKANTSAMBANDET;8667;4;2017;1;20;2117;-999;2383;-999;2253;-999;1818;-999;2334;-999
1200100;EV39;TREKANTSAMBANDET;8667;4;2017;2;20;2111;-999;2395;-999;2287;-999;1723;-999;2341;-999
1200100;EV39;TREKANTSAMBANDET;8667;4;2017;3;20;465;-999;498;-999;501;-999;387;-999;489;-999
1200100;EV39;TREKANTSAMBANDET;8667;4;2017;4;20;1429;-999;1468;-999;1643;-999;959;-999;1329;-999
1200100;EV39;TREKANTSAMBANDET;8667;4;2017;5;20;1425;-999;1463;-999;1614;-999;1011;-999;1321;-999
1200100;EV39;TREKANTSAMBANDET;8667;4;2017;6;20;515;-999;570;-999;542;-999;453;-999;572;-999
400246;RV2;HANSTAD SØNDRE;10594;14;2017;R0;20;5793;23;5948;38;6445;25;4356;19;5369;0
1200100;EV39;TREKANTSAMBANDET;8667;4;2017;R1;20;4008;6;4344;1;4367;6;3216;5;4144;0
1200100;EV39;TREKANTSAMBANDET;8667;4;2017;R2;20;4055;6;4433;0;4472;6;3136;5;4242;0
1200102;EV39;BØMLAFJORDTUNNELEN;8426;4;2017;1;20;2117;-999;2383;-999;2253;-999;1819;-999;2334;-999
1200102;EV39;BØMLAFJORDTUNNELEN;8426;4;2017;2;20;2110;-999;2395;-999;2287;-999;1723;-999;2341;-999
1200102;EV39;BØMLAFJORDTUNNELEN;8426;4;2017;3;20;465;-999;498;-999;501;-999;387;-999;489;-999
1200102;EV39;BØMLAFJORDTUNNELEN;8426;4;2017;4;20;515;-999;570;-999;542;-999;453;-999;572;-999
400248;RV3;ALVDAL;19520;14;2017;R0;20;2918;0;3999;1;3071;0;2580;0;4615;2
1200102;EV39;BØMLAFJORDTUNNELEN;8426;4;2017;R1;20;2583;4;2881;0;2753;4;2207;3;2823;0
1200102;EV39;BØMLAFJORDTUNNELEN;8426;4;2017;R2;20;2625;4;2965;0;2829;4;2176;4;2913;0
1200103;EV39;ARM STORD-BØMLO;32107;67;2017;1;20;1430;2;1468;0;1644;2;960;2;1329;0
1200103;EV39;ARM STORD-BØMLO;32107;67;2017;R1;20;1430;2;1468;0;1644;2;960;2;1329;0
1200104;EV39;ARM BØMLO-STORD;13030;67;2017;1;20;1426;2;1463;0;1614;2;1011;2;1321;0
1200104;EV39;ARM BØMLO-STORD;13030;67;2017;R1;20;1426;2;1463;0;1614;2;1011;2;1321;0
1200109;EV39;MEATJØNN-SVEIO;21030;68;2017;1;20;1538;0;1646;0;1757;0;1056;0;1563;1
1200109;EV39;MEATJØNN-SVEIO;21030;68;2017;R1;20;1538;0;1646;0;1757;0;1056;0;1563;1
1200114;EV39;SØRÅS/SENTRUM;13275;74;2017;1;20;3957;-999;3916;-999;4812;-999;2075;-999;3202;-999
1200114;EV39;SØRÅS/SENTRUM;13275;74;2017;2;20;4389;-999;4159;-999;5370;-999;2231;-999;2934;-999
1200114;EV39;SØRÅS/SENTRUM;13275;74;2017;3;20;6405;-999;6745;-999;7039;-999;5009;-999;6617;-999
1200114;EV39;SØRÅS/SENTRUM;13275;74;2017;4;20;4948;-999;4982;-999;5362;-999;4035;-999;4587;-999
400282;FV20;ÅS V;315;3;2017;R0;20;1157;51;1152;65;1331;57;772;37;1022;59
1200114;EV39;SØRÅS/SENTRUM;13275;74;2017;R1;20;10362;39;10661;154;11851;45;7084;26;9820;300
1200114;EV39;SØRÅS/SENTRUM;13275;74;2017;R2;20;9337;3;9141;10;10732;4;6265;0;7521;11
1200117;EV39;RAMPE SENTRUM - HOP;10200;17;2017;1;20;10181;3;9952;11;11468;4;7347;0;8353;12
1200117;EV39;RAMPE SENTRUM - HOP;10200;17;2017;R1;20;10181;3;9952;11;11468;4;7347;0;8353;12
